pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
15	77.33333333333333	53607.666666666664	14.0	1400.0	50342.0	1851.6666666666667	3
20	21.666666666666668	16680.0	20.0	2000.0	12065.0	2595.0	3
25	14.0	13787.25	24.0	2400.0	8719.75	2643.5	4
30	10.6	14155.2	30.0	3000.0	7612.6	3512.6	10
35	8.0	13701.8	34.0	3400.0	6823.9	3443.9	10
40	6.0	13128.7	40.0	4000.0	5079.9	4008.8	10
45	4.9	11952.8	44.0	4400.0	3847.9	3660.9	10
46	3.9	11170.4	46.0	4600.0	3054.8	3469.6	10
47	3.9	11170.4	46.0	4600.0	3054.8	3469.6	10
48	4.3	12594.4	48.0	4800.0	3615.7	4130.7	10
49	4.3	12594.4	48.0	4800.0	3615.7	4130.7	10
50	3.4	11425.1	50.0	5000.0	2715.8	3659.3	10
51	3.3	11484.6	50.0	5000.0	2713.3	3721.3	10
52	3.4	12645.5	52.0	5200.0	3220.6	4172.9	10
53	3.4	12804.9	52.0	5200.0	3398.2	4154.7	10
54	3.3	12878.1	54.0	5400.0	3076.8	4347.3	10
55	3.5	12869.8	54.0	5400.0	3174.2	4241.6	10
60	2.7	13038.2	60.0	6000.0	2508.9	4469.3	10
65	2.5	13464.7	64.0	6400.0	2424.6	4576.1	10
70	2.3	14137.2	70.0	7000.0	2146.1	4921.1	10
100	1.2	17085.7	100.0	10000.0	1399.2	5586.5	10
130	1.0	22518.9	130.0	13000.0	2029.7	7359.2	10
