pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	3.0	33163.0	70.0	28000.0	179.0	4914.0	1
100	2.25	47470.5	100.0	40000.0	172.5	7198.0	8
105	3.0	49450.0	104.0	41600.0	193.0	7553.0	1
106	2.7	50361.4	106.0	42400.0	214.8	7640.6	10
108	3.3	51371.7	108.0	43200.0	318.7	7745.0	10
109	3.6	51436.8	108.0	43200.0	354.1	7774.7	10
110	2.2	51883.6	110.0	44000.0	178.2	7595.4	10
111	2.888888888888889	52260.0	110.0	44000.0	253.88888888888889	7896.111111111111	9
112	2.0	53042.0	112.0	44800.0	132.5	7997.5	2
113	2.111111111111111	53126.22222222222	112.0	44800.0	159.11111111111111	8055.111111111111	9
114	2.142857142857143	54089.142857142855	114.0	45600.0	151.71428571428572	8223.42857142857	7
115	2.2	53771.0	114.0	45600.0	153.4	7903.6	10
120	1.7142857142857142	56860.71428571428	120.0	48000.0	129.57142857142858	8611.142857142857	7
125	2.0	58831.5	124.0	49600.0	151.625	8955.875	8
130	3.2	61518.2	130.0	52000.0	350.8	9037.4	10
135	2.2	63579.2	134.0	53600.0	202.9	9642.3	10
140	3.2	66568.2	140.0	56000.0	378.6	10049.6	10
145	1.8	68296.8	144.0	57600.0	166.4	10386.4	10
150	2.7777777777777777	70784.66666666667	150.0	60000.0	265.44444444444446	10369.222222222223	9
155	2.0	72594.3	154.0	61600.0	153.4	10686.9	10
160	1.0	75721.0	160.0	64000.0	85.0	11476.0	1
190	2.9	90226.6	190.0	76000.0	369.9	13666.7	10
