pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
15	23.0	5964.0	14.0	1400.0	3360.0	1190.0	2
20	27.333333333333332	15545.333333333334	20.0	2000.0	10807.666666666666	2717.6666666666665	3
25	24.5	13798.75	24.0	2400.0	8110.875	3263.875	8
30	14.7	12114.5	30.0	3000.0	5738.7	3345.8	10
35	12.2	13638.4	34.0	3400.0	6363.4	3841.0	10
36	9.2	10629.3	36.0	3600.0	3785.7	3207.6	10
37	9.5	11092.6	36.0	3600.0	4133.3	3323.3	10
38	8.2	11127.7	38.0	3800.0	3684.6	3605.1	10
39	8.2	11127.7	38.0	3800.0	3684.6	3605.1	10
40	5.9	8839.1	40.0	4000.0	1778.2	3020.9	10
41	8.3	12166.4	40.0	4000.0	4148.1	3978.3	10
42	7.7	11573.8	42.0	4200.0	3318.8	4013.0	10
43	7.7	11573.8	42.0	4200.0	3318.8	4013.0	10
44	6.1	10666.6	44.0	4400.0	2542.1	3680.5	10
45	5.9	10789.0	44.0	4400.0	2748.6	3596.4	10
50	4.3	10909.3	50.0	5000.0	2185.4	3673.9	10
55	4.4	12406.3	54.0	5400.0	2503.3	4449.0	10
60	4.5	14191.0	60.0	6000.0	2840.9	5290.1	10
65	3.3	13282.1	64.0	6400.0	2056.3	4761.8	10
70	2.6	14020.8	70.0	7000.0	1704.0	5246.8	10
100	1.5	16361.7	100.0	10000.0	1093.7	5168.0	10
130	1.1	20966.2	130.0	13000.0	910.1	6926.1	10
