pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	1.4285714285714286	47538.42857142857	100.0	40000.0	264.57142857142856	7173.857142857143	7
161	1.8	76109.4	160.0	64000.0	395.8	11553.6	10
162	1.75	77092.5	162.0	64800.0	453.25	11677.25	4
163	2.0	77039.2	162.0	64800.0	404.5	11672.7	10
164	2.0	78004.3	164.0	65600.0	433.3	11807.0	10
165	1.7	77939.5	164.0	65600.0	390.6	11784.9	10
166	1.8	78919.7	166.0	66400.0	366.0	11987.7	10
167	1.6	78898.2	166.0	66400.0	335.4	11996.8	10
168	2.5	80036.125	168.0	67200.0	614.375	12053.75	8
169	1.9	79914.6	168.0	67200.0	476.3	12070.3	10
170	4.1	81265.2	170.0	68000.0	859.2	12236.0	10
175	1.7	82713.4	174.0	69600.0	386.9	12552.5	10
180	1.4	85488.0	180.0	72000.0	329.3	12978.7	10
185	2.0	87479.0	184.0	73600.0	449.3	13245.7	10
190	1.6	90241.9	190.0	76000.0	325.2	13726.7	10
195	2.0	92210.7	194.0	77600.0	450.6	13966.1	10
200	2.0	95075.9	200.0	80000.0	476.7	14399.2	10
205	1.6	96943.7	204.0	81600.0	420.5	14719.2	10
210	3.6	100258.3	210.0	84000.0	940.6	15107.7	10
215	1.7	101604.1	214.0	85600.0	432.1	15358.0	10
220	1.7142857142857142	104546.0	220.0	88000.0	476.57142857142856	15849.42857142857	7
250	3.1	119160.4	250.0	100000.0	944.1	17966.3	10
