pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	9.0	20036.0	40.0	4000.0	10452.0	5544.0	2
100	2.7	27807.5	100.0	10000.0	7832.3	9875.2	10
101	2.25	23578.0	100.0	10000.0	3888.0	9590.0	8
102	2.9	30780.7	102.0	10200.0	9507.4	10971.3	10
103	2.9	30928.1	102.0	10200.0	9540.1	11086.0	10
104	2.4	26873.4	104.0	10400.0	5876.9	10492.5	10
105	1.8	21323.5	104.0	10400.0	2762.9	8056.6	10
106	1.8333333333333333	22833.833333333332	106.0	10600.0	3773.1666666666665	8354.666666666666	6
107	1.6666666666666667	20998.5	106.0	10600.0	2821.6666666666665	7470.833333333333	6
108	2.0	24049.555555555555	108.0	10800.0	3957.777777777778	9183.777777777777	9
109	2.0	23897.333333333332	108.0	10800.0	3902.3333333333335	9087.0	9
110	2.0	23491.9	110.0	11000.0	3178.7	9203.2	10
115	1.9	23959.6	114.0	11400.0	3173.1	9272.5	10
120	1.8	24762.6	120.0	12000.0	3496.4	9146.2	10
125	2.0	28893.0	124.0	12400.0	4936.8	11432.2	5
130	2.0	27162.2	130.0	13000.0	3567.4	10464.8	10
135	1.5	28921.6	134.0	13400.0	3875.0	11512.6	10
140	1.6	29881.5	140.0	14000.0	3984.3	11757.2	10
145	1.6	29611.3	144.0	14400.0	3384.7	11682.6	10
150	1.2	29004.6	150.0	15000.0	3040.3	10814.3	10
155	1.3333333333333333	30689.166666666668	154.0	15400.0	3661.0	11474.166666666666	6
160	1.3	32027.6	160.0	16000.0	3163.2	12704.4	10
