pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	84.8	285148.0	100.0	48000.0	164336.0	72712.0	10
105	86.0	289546.28571428574	104.0	49920.0	164976.57142857142	74545.71428571429	7
110	83.9	295530.3	110.0	52800.0	162950.7	79669.6	10
115	74.4	294802.9	114.0	54720.0	156695.0	83273.9	10
120	60.4	277391.4	120.0	57600.0	129027.9	90643.5	10
125	55.8	283167.4	124.0	59520.0	128803.8	94719.6	10
130	52.9	274200.3	130.0	62400.0	112569.5	99100.8	10
131	61.77777777777778	293201.1111111111	130.0	62400.0	132906.22222222222	97764.88888888889	9
132	47.3	272567.6	132.0	63360.0	109177.0	99898.6	10
133	49.4	277585.8	132.0	63360.0	113743.5	100350.3	10
134	48.6	279106.3	134.0	64320.0	112124.8	102527.5	10
135	45.1	273496.2	134.0	64320.0	105329.2	103713.0	10
136	47.4	275879.7	136.0	65280.0	106030.2	104433.5	10
137	48.8	283294.0	136.0	65280.0	113564.8	104313.2	10
138	44.6	274375.8	138.0	66240.0	101943.0	106054.8	10
139	50.2	287628.4	138.0	66240.0	113605.9	107644.5	10
140	46.4	283394.1	140.0	67200.0	107583.8	108470.3	10
145	42.7	281028.1	144.0	69120.0	98942.7	112821.4	10
155	35.1	281578.6	154.0	73920.0	85211.3	122293.3	10
160	33.3	294502.4	160.0	76800.0	89903.5	127638.9	10
190	24.9	317765.2	190.0	91200.0	69460.9	156914.3	10
