pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	13.0	16502.0	40.0	4000.0	8227.0	4235.0	1
41	12.1	14714.9	40.0	4000.0	6575.2	4099.7	10
42	10.5	14147.0	42.0	4200.0	5625.0	4280.0	2
43	10.5	14147.0	42.0	4200.0	5625.0	4280.0	2
44	12.1	17753.4	44.0	4400.0	8303.3	5006.1	10
45	9.0	13218.1	44.0	4400.0	4947.4	3826.7	10
48	9.0	15706.666666666666	48.0	4800.0	6236.0	4622.666666666667	6
49	9.0	15706.666666666666	48.0	4800.0	6236.0	4622.666666666667	6
50	8.333333333333334	15633.666666666666	50.0	5000.0	5569.666666666667	5014.0	3
55	6.666666666666667	14310.666666666666	54.0	5400.0	4600.666666666667	4256.0	3
60	5.9	15941.0	60.0	6000.0	4826.8	5054.2	10
65	5.6	16768.6	64.0	6400.0	4884.4	5420.2	10
70	4.1	15257.1	70.0	7000.0	3667.1	4520.0	10
75	4.1	17210.8	74.0	7400.0	4180.0	5556.8	10
80	4.2	18927.7	80.0	8000.0	4628.0	6219.7	10
85	3.5	18155.2	84.0	8400.0	3612.6	6058.6	10
90	3.6	20631.8	90.0	9000.0	4655.7	6886.1	10
95	3.2	19660.3	94.0	9400.0	3577.8	6588.5	10
100	3.0	20585.2	100.0	10000.0	3380.9	7104.3	10
130	2.2	25632.8	130.0	13000.0	3204.4	9298.4	10
