pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	21.0	10768.0	20.0	2000.0	5939.0	2809.0	2
25	19.5	12733.9	24.0	2400.0	6552.7	3757.2	10
30	14.7	14392.6	30.0	3000.0	6750.2	4612.4	10
35	11.2	13556.0	34.0	3400.0	5309.3	4812.7	10
36	10.0	13511.4	36.0	3600.0	5078.4	4797.0	10
37	10.0	13511.4	36.0	3600.0	5078.4	4797.0	10
38	8.0	12745.5	38.0	3800.0	4121.0	4786.5	2
39	8.0	12745.5	38.0	3800.0	4121.0	4786.5	2
40	7.9	12428.9	40.0	4000.0	3538.0	4850.9	10
41	8.2	13847.7	40.0	4000.0	4646.3	5161.4	10
42	8.0	14407.9	42.0	4200.0	4664.2	5501.7	10
43	8.0	14407.9	42.0	4200.0	4664.2	5501.7	10
44	7.8	14853.2	44.0	4400.0	4546.1	5863.1	10
45	7.1	14201.9	44.0	4400.0	4335.8	5422.1	10
50	6.3	15686.6	50.0	5000.0	4548.9	6087.7	10
55	5.3	15670.0	54.0	5400.0	4007.8	6208.2	10
60	4.8	17355.4	60.0	6000.0	4230.5	7064.9	10
65	4.3	17346.5	64.0	6400.0	3693.9	7188.6	10
70	3.4	17273.4	70.0	7000.0	3111.1	7092.3	10
100	2.3	22547.3	100.0	10000.0	2641.0	9806.3	10
130	2.0	26667.2	130.0	13000.0	2223.7	11313.5	10
