pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	2.5	47950.5	100.0	40000.0	679.25	7171.25	4
111	2.1666666666666665	52755.333333333336	110.0	44000.0	732.0	7913.333333333333	6
112	3.9	53908.5	112.0	44800.0	938.4	8058.1	10
113	3.6	53912.9	112.0	44800.0	947.3	8053.6	10
114	2.4	54617.8	114.0	45600.0	706.0	8197.8	10
115	1.6	54534.4	114.0	45600.0	636.7	8183.7	10
117	1.8	55540.7	116.0	46400.0	682.5	8342.2	10
118	3.3	56680.8	118.0	47200.0	869.8	8493.0	10
119	2.0	56481.833333333336	118.0	47200.0	691.6666666666666	8472.166666666666	6
120	2.6	57571.2	120.0	48000.0	827.7	8623.5	10
125	1.7	59381.3	124.0	49600.0	684.5	8972.8	10
130	2.3	62258.1	130.0	52000.0	759.6	9368.5	10
135	2.3333333333333335	64166.333333333336	134.0	53600.0	766.6666666666666	9665.666666666666	3
140	2.4	67044.6	140.0	56000.0	795.6	10109.0	10
145	1.7	68886.8	144.0	57600.0	728.7	10414.1	10
150	1.7	71698.3	150.0	60000.0	751.6	10796.7	10
155	1.5	73524.7	154.0	61600.0	675.1	11095.6	10
160	3.9	76822.3	160.0	64000.0	1131.3	11531.0	10
190	2.0	90751.5	190.0	76000.0	865.0	13696.5	10
