pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	18.0	13182.5	20.0	2000.0	8750.333333333334	2412.1666666666665	6
25	13.5	13211.6	24.0	2400.0	7938.5	2849.1	10
30	8.8	11569.0	30.0	3000.0	5363.0	3176.0	10
35	7.4	12364.3	34.0	3400.0	5327.4	3602.9	10
36	6.1	11203.5	36.0	3600.0	4196.0	3371.5	10
37	6.2	11276.8	36.0	3600.0	4198.1	3442.7	10
38	5.5	11207.7	38.0	3800.0	3917.7	3452.0	10
39	5.5	11220.8	38.0	3800.0	3916.6	3466.2	10
40	4.8	10488.4	40.0	4000.0	2953.2	3495.2	10
41	5.4	12034.4	40.0	4000.0	4253.4	3741.0	10
42	4.6	11397.0	42.0	4200.0	3510.5	3644.5	10
43	4.6	11397.0	42.0	4200.0	3510.5	3644.5	10
44	5.0	13274.8	44.0	4400.0	4657.4	4173.4	10
45	5.0	13967.6	44.0	4400.0	5144.1	4379.5	10
50	3.9	12816.3	50.0	5000.0	3309.8	4456.5	10
55	3.0	11713.9	54.0	5400.0	2414.4	3845.5	10
60	2.7	13169.3	60.0	6000.0	2736.1	4373.2	10
65	2.6	14147.2	64.0	6400.0	2780.9	4902.3	10
70	2.3	14813.6	70.0	7000.0	2810.3	4933.3	10
100	1.6	20046.0	100.0	10000.0	2532.6	7413.4	10
130	1.3	24059.3	130.0	13000.0	2186.9	8742.4	10
