pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
160	1.3333333333333333	85590.33333333333	160.0	64000.0	3628.6666666666665	17801.666666666668	3
190	1.3333333333333333	102769.83333333333	190.0	76000.0	5388.833333333333	21191.0	6
220	1.25	116184.75	220.0	88000.0	4124.5	23840.25	4
250	1.1428571428571428	131699.14285714287	250.0	100000.0	4205.428571428572	27243.714285714286	7
280	1.0	145727.625	280.0	112000.0	3636.625	29811.0	8
281	1.0	147337.33333333334	280.0	112000.0	4565.333333333333	30492.0	3
282	1.0	147440.3	282.0	112800.0	3328.4	31029.9	10
283	1.0	146772.7	282.0	112800.0	3917.8	29772.9	10
284	1.0	148975.5	284.0	113600.0	3922.2	31169.3	10
285	1.0	148943.1	284.0	113600.0	3723.3	31335.8	10
286	1.0	148016.9	286.0	114400.0	3564.5	29766.4	10
287	1.1	148795.2	286.0	114400.0	3646.4	30462.8	10
288	1.0	151449.9	288.0	115200.0	3706.8	32255.1	10
289	1.0	150281.7	288.0	115200.0	3634.0	31159.7	10
290	1.0	152128.3	290.0	116000.0	3616.9	32221.4	10
295	1.0	152277.6	294.0	117600.0	3432.0	30951.6	10
300	1.0	155955.0	300.0	120000.0	3319.8	32335.2	10
305	1.0	158667.7	304.0	121600.0	4000.7	32763.0	10
310	1.0	161907.4	310.0	124000.0	3727.0	33870.4	10
315	1.0	162415.3	314.0	125600.0	3561.7	32939.6	10
320	1.0	169063.7	320.0	128000.0	4094.5	36649.2	10
325	1.1	168927.0	324.0	129600.0	3853.6	35149.4	10
330	1.0	171548.1	330.0	132000.0	3456.2	35761.9	10
335	1.0	172613.9	334.0	133600.0	3639.0	35040.9	10
