pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	11.428571428571429	17413.285714285714	40.0	4000.0	7203.714285714285	6169.571428571428	7
50	7.833333333333333	17544.333333333332	50.0	5000.0	5750.5	6743.833333333333	6
60	6.0	19275.5	60.0	6000.0	5446.375	7769.125	8
65	5.6	20002.3	64.0	6400.0	5414.6	8123.7	10
70	5.0	20959.0	70.0	7000.0	5233.4	8655.6	10
75	4.9	21968.1	74.0	7400.0	5282.1	9212.0	10
76	4.0	19977.2	76.0	7600.0	3931.1	8370.1	10
77	4.0	19977.2	76.0	7600.0	3931.1	8370.1	10
78	4.285714285714286	22260.14285714286	78.0	7800.0	5042.285714285715	9339.857142857143	7
79	4.285714285714286	22260.14285714286	78.0	7800.0	5042.285714285715	9339.857142857143	7
80	3.6	19875.5	80.0	8000.0	3280.7	8514.8	10
82	3.7	21440.1	82.0	8200.0	4279.8	8878.3	10
83	3.7	21440.1	82.0	8200.0	4279.8	8878.3	10
84	3.6	21970.5	84.0	8400.0	4234.3	9252.2	10
85	4.3	23804.6	84.0	8400.0	5599.5	9721.1	10
90	4.0	25539.0	90.0	9000.0	6162.0	10287.0	1
95	3.8	26578.6	94.0	9400.0	5348.8	11735.8	10
100	3.4	25474.7	100.0	10000.0	4346.4	11028.3	10
130	2.1	28304.5	130.0	13000.0	3104.0	12070.5	10
