pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	1.0	722.0	70.0	652.0	0.0	0.0	7
190	1.0	952.0	190.0	762.0	0.0	0.0	9
220	1.0	487.8888888888889	181.77777777777777	306.1111111111111	0.0	0.0	9
255	1.0	2645.0	254.0	2391.0	0.0	0.0	5
260	1.0	1203.0	260.0	943.0	0.0	0.0	5
276	1.0	1541.8	276.0	1265.8	0.0	0.0	10
277	1.0	1541.8	276.0	1265.8	0.0	0.0	10
278	1.0	1543.8	278.0	1265.8	0.0	0.0	10
279	1.0	1543.8	278.0	1265.8	0.0	0.0	10
280	1.0	491.0	280.0	211.0	0.0	0.0	10
281	1.0	2111.0	280.0	1831.0	0.0	0.0	6
282	1.0	598.0	282.0	316.0	0.0	0.0	10
283	1.0	598.0	282.0	316.0	0.0	0.0	10
284	1.0	600.0	284.0	316.0	0.0	0.0	10
295	1.0	1287.0	294.0	993.0	0.0	0.0	10
300	1.0	561.5	300.0	261.5	0.0	0.0	10
310	1.0	2782.5	310.0	2472.5	0.0	0.0	10
