pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	20.0	18920.4	40.0	4000.0	8913.6	5966.8	5
45	17.1	18963.6	44.0	4400.0	8249.0	6270.6	10
46	14.4	17996.2	46.0	4600.0	7210.7	6139.5	10
47	14.6	18297.9	46.0	4600.0	7422.8	6229.1	10
48	14.1	18556.1	48.0	4800.0	7484.9	6223.2	10
49	15.5	20136.2	48.0	4800.0	8550.6	6737.6	10
50	13.1	18575.8	50.0	5000.0	7249.0	6276.8	10
51	13.9	20403.3	50.0	5000.0	8461.3	6892.0	10
52	11.5	18028.25	52.0	5200.0	6316.0	6460.25	8
53	11.8	18370.4	52.0	5200.0	6636.9	6481.5	10
54	12.6	21484.7	54.0	5400.0	8335.4	7695.3	10
55	12.7	21025.9	54.0	5400.0	8154.1	7417.8	10
60	11.333333333333334	22991.666666666668	60.0	6000.0	8597.666666666666	8334.0	3
65	8.88888888888889	20637.555555555555	64.0	6400.0	6433.222222222223	7740.333333333333	9
70	7.1	20001.6	70.0	7000.0	5243.4	7688.2	10
75	7.2	22100.2	74.0	7400.0	6221.7	8404.5	10
80	5.6	20460.2	80.0	8000.0	4518.8	7861.4	10
85	6.3	24233.0	84.0	8400.0	6240.1	9508.9	10
90	5.4	24071.0	90.0	9000.0	5485.3	9495.7	10
95	5.7	27216.4	94.0	9400.0	6731.1	10991.3	10
100	4.1	22953.4	100.0	10000.0	3924.1	8929.3	10
130	3.6	29930.7	130.0	13000.0	4490.1	12310.6	10
