pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	1.0	47359.0	100.0	40000.0	153.0	7106.0	1
105	2.0	49444.0	104.0	41600.0	264.0	7476.0	3
106	2.6	50497.7	106.0	42400.0	345.1	7646.6	10
107	2.2857142857142856	50379.142857142855	106.0	42400.0	294.2857142857143	7578.857142857143	7
108	1.8571428571428572	51330.71428571428	108.0	43200.0	234.28571428571428	7788.428571428572	7
109	3.0	51386.875	108.0	43200.0	376.375	7702.5	8
110	3.2	52413.1	110.0	44000.0	377.6	7925.5	10
111	2.375	52327.0	110.0	44000.0	298.875	7918.125	8
112	2.1	53179.1	112.0	44800.0	246.8	8020.3	10
113	2.2222222222222223	53254.88888888889	112.0	44800.0	288.1111111111111	8054.777777777777	9
114	2.8	54307.7	114.0	45600.0	395.0	8198.7	10
120	1.9	57016.9	120.0	48000.0	254.0	8642.9	10
125	1.0	58685.0	124.0	49600.0	145.0	8816.0	1
130	2.0	61778.4	130.0	52000.0	295.3	9353.1	10
135	2.6	63779.4	134.0	53600.0	390.6	9654.8	10
140	2.0	66062.125	140.0	56000.0	291.0	9631.125	8
145	1.8	68386.9	144.0	57600.0	276.1	10366.8	10
150	1.8	71260.5	150.0	60000.0	291.1	10819.4	10
155	1.6	73062.8	154.0	61600.0	263.3	11045.5	10
160	2.9	76147.6	160.0	64000.0	508.7	11478.9	10
190	3.3333333333333335	90520.33333333333	190.0	76000.0	670.0	13660.333333333334	3
220	2.2	104572.1	220.0	88000.0	456.6	15895.5	10
