pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	68.0	35646.0	40.0	4000.0	12563.0	19043.0	1
70	94.4	104217.0	70.0	7000.0	30049.2	67097.8	5
75	113.625	134238.875	74.0	7400.0	40919.875	85845.0	8
76	78.2	100666.2	76.0	7600.0	26944.4	66045.8	10
77	98.3	123601.2	76.0	7600.0	35498.1	80427.1	10
78	54.0	79488.0	78.0	7800.0	18455.0	53155.0	1
79	77.1	104472.9	78.0	7800.0	28493.9	68101.0	10
80	76.1	108297.9	80.0	8000.0	28233.7	71984.2	10
81	34.0	58002.0	80.0	8000.0	11081.5	38840.5	2
82	78.5	113582.1	82.0	8200.0	29435.7	75864.4	10
83	93.2	132738.4	82.0	8200.0	36369.0	88087.4	10
84	69.4	107677.1	84.0	8400.0	27438.2	71754.9	10
85	75.0	114919.14285714286	84.0	8400.0	30059.285714285714	76375.85714285714	7
90	77.7	132015.7	90.0	9000.0	33749.4	89176.3	10
95	88.5	161611.8	94.0	9400.0	41614.4	110503.4	10
100	61.3	129159.9	100.0	10000.0	30359.5	88700.4	10
105	65.6	145578.6	104.0	10400.0	32587.9	102486.7	10
110	49.1	127295.2	110.0	11000.0	25756.2	90429.0	10
115	56.0	146952.7	114.0	11400.0	29767.9	105670.8	10
120	62.1	177303.1	120.0	12000.0	37042.2	128140.9	10
125	53.1	163139.6	124.0	12400.0	31867.4	118748.2	10
130	45.2	152829.3	130.0	13000.0	29220.4	110478.9	10
