pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	124.75	180756.625	100.0	48000.0	72269.5	60387.125	8
130	74.5	192605.0	130.0	62400.0	50649.0	79426.0	2
131	66.6	187804.7	130.0	62400.0	44114.5	81160.2	10
132	58.0	182118.0	132.0	63360.0	35563.0	83063.0	1
133	57.6	187595.7	132.0	63360.0	40610.7	83493.0	10
134	60.0	190329.0	134.0	64320.0	42487.0	83388.0	2
135	70.0	194146.5	134.0	64320.0	45742.8	83949.7	10
136	69.1	196302.2	136.0	65280.0	44944.7	85941.5	10
137	69.0	196169.1	136.0	65280.0	44451.7	86301.4	10
138	74.33333333333333	199400.5	138.0	66240.0	46324.333333333336	86698.16666666667	6
139	63.6	196274.2	138.0	66240.0	41927.3	87968.9	10
140	59.0	194612.5	140.0	67200.0	39776.6	87495.9	10
145	52.4	196484.4	144.0	69120.0	36727.1	90493.3	10
150	51.1	202338.7	150.0	72000.0	35385.3	94803.4	10
155	48.3	205648.4	154.0	73920.0	33318.7	98255.7	10
160	47.0	212582.2	160.0	76800.0	34349.0	101273.2	10
165	38.8	215287.9	164.0	78720.0	30620.2	105783.7	10
170	37.1	219662.0	170.0	81600.0	29205.3	108686.7	10
175	43.2	225676.4	174.0	83520.0	29901.9	112080.5	10
180	31.1	230816.6	180.0	86400.0	26992.7	117243.9	10
185	33.5	235176.2	184.0	88320.0	27556.8	119115.4	10
190	32.5	242052.1	190.0	91200.0	27534.4	123127.7	10
