pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	92.0	105846.0	70.0	7000.0	30603.0	68173.0	1
75	87.0	106146.0	74.0	7400.0	29673.333333333332	68998.66666666667	3
76	36.0	55433.0	76.0	7600.0	11234.0	36523.0	1
77	87.4	109837.2	76.0	7600.0	32325.0	69836.2	10
80	94.1	127508.4	80.0	8000.0	36692.4	82736.0	10
81	170.0	219255.0	80.0	8000.0	74216.0	136959.0	1
82	41.0	70500.0	82.0	8200.0	15203.0	47015.0	1
83	112.66666666666667	156616.0	82.0	8200.0	44700.333333333336	103633.66666666667	3
84	74.5	114290.625	84.0	8400.0	32591.25	73215.375	8
85	70.66666666666667	107480.33333333333	84.0	8400.0	28953.666666666668	70042.66666666667	3
90	96.8	159455.3	90.0	9000.0	43998.4	106366.9	10
95	90.9	161728.6	94.0	9400.0	44088.4	108146.2	10
100	73.2	149920.1	100.0	10000.0	37957.6	101862.5	10
105	73.85714285714286	161287.42857142858	104.0	10400.0	40312.42857142857	110471.0	7
110	65.8	160703.9	110.0	11000.0	36903.9	112690.0	10
115	105.9	255189.4	114.0	11400.0	63751.7	179923.7	10
120	58.1	167956.4	120.0	12000.0	35913.7	119922.7	10
125	91.9	261553.4	124.0	12400.0	62811.9	186217.5	10
130	67.9	219926.9	130.0	13000.0	46614.4	160182.5	10
160	56.0	268753.2	160.0	16000.0	51684.2	200909.0	10
