pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
105	2.5	49562.25	104.0	41600.0	392.75	7465.5	4
106	2.3	50513.9	106.0	42400.0	367.2	7640.7	10
107	3.5	50634.7	106.0	42400.0	508.5	7620.2	10
108	2.4	51484.9	108.0	43200.0	429.2	7747.7	10
109	2.5	51444.1	108.0	43200.0	351.9	7784.2	10
110	2.0	52344.9	110.0	44000.0	322.8	7912.1	10
111	2.1	52343.2	110.0	44000.0	332.6	7900.6	10
112	2.0	53296.0	112.0	44800.0	353.5	8030.5	2
113	2.111111111111111	53354.11111111111	112.0	44800.0	389.3333333333333	8052.777777777777	9
114	3.5	54379.5	114.0	45600.0	509.0	8156.5	2
115	4.0	54563.0	114.0	45600.0	633.6	8215.4	5
120	2.1	57106.0	120.0	48000.0	342.7	8643.3	10
125	2.0	58964.333333333336	124.0	49600.0	314.3333333333333	8926.0	3
130	1.7	61856.1	130.0	52000.0	366.0	9360.1	10
135	2.0	63746.1	134.0	53600.0	355.3	9656.8	10
140	2.0	66651.4	140.0	56000.0	408.1	10103.3	10
145	2.0	68552.0	144.0	57600.0	440.0	10368.0	3
150	2.0	71350.9	150.0	60000.0	434.6	10766.3	10
155	1.8	73274.6	154.0	61600.0	399.0	11121.6	10
160	2.4	76176.9	160.0	64000.0	473.9	11543.0	10
190	2.0	90336.5	190.0	76000.0	457.4	13689.1	10
220	1.6	104561.0	220.0	88000.0	468.0	15873.0	10
