pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
25	19.6	22979.4	24.0	2400.0	16950.6	3604.8	5
35	8.2	13630.7	34.0	3400.0	6625.5	3571.2	10
36	7.8	14350.1	36.0	3600.0	6756.1	3958.0	10
37	7.8	14350.1	36.0	3600.0	6756.1	3958.0	10
38	6.111111111111111	12582.444444444445	38.0	3800.0	4941.777777777777	3802.6666666666665	9
39	6.333333333333333	13080.111111111111	38.0	3800.0	5357.444444444444	3884.6666666666665	9
40	5.7	13425.2	40.0	4000.0	5207.1	4178.1	10
41	6.777777777777778	15160.333333333334	40.0	4000.0	6642.0	4478.333333333333	9
42	5.3	13356.5	42.0	4200.0	5172.3	3942.2	10
43	4.7	11896.0	42.0	4200.0	4007.7	3646.3	10
44	4.8	13319.9	44.0	4400.0	4813.1	4062.8	10
45	5.8	15506.0	44.0	4400.0	6400.3	4661.7	10
50	4.1	14206.4	50.0	5000.0	4563.4	4593.0	10
55	80.0	318832.0	54.0	5400.0	293786.0	19592.0	1
60	4.1	19474.2	60.0	6000.0	7363.0	6051.2	10
65	2.5	14223.8	64.0	6400.0	2802.1	4957.7	10
70	3.2	19078.5	70.0	7000.0	5344.8	6663.7	10
100	2.0	19632.7	100.0	10000.0	2306.4	7226.3	10
130	1.4	25439.1	130.0	13000.0	3067.3	9241.8	10
