pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	76.5	229568.0	100.0	48000.0	120109.0	61359.0	2
105	84.7	231655.8	104.0	49920.0	117726.3	63905.5	10
110	73.7	227125.6	110.0	52800.0	106419.7	67795.9	10
115	71.8	236680.1	114.0	54720.0	110988.5	70857.6	10
116	62.4	219155.2	116.0	55680.0	91829.7	71529.5	10
117	68.6	229384.1	116.0	55680.0	102484.7	71103.4	10
118	61.4	224817.4	118.0	56640.0	94404.8	73654.6	10
119	62.3	223638.2	118.0	56640.0	93595.5	73284.7	10
120	51.5	217940.4	120.0	57600.0	85633.9	74586.5	10
121	64.4	231423.7	120.0	57600.0	98506.6	75197.1	10
122	53.3	218358.1	122.0	58560.0	82726.9	76949.2	10
123	63.0	222128.0	122.0	58560.0	88675.0	74771.0	1
124	53.7	222397.7	124.0	59520.0	85601.7	77152.0	10
125	50.6	225913.8	124.0	59520.0	88598.7	77671.1	10
130	50.3	219756.8	130.0	62400.0	75854.8	81372.0	10
135	52.857142857142854	232125.42857142858	134.0	64320.0	83789.57142857143	83881.85714285714	7
140	38.2	220520.4	140.0	67200.0	63611.5	89568.9	10
145	38.6	227951.8	144.0	69120.0	66451.3	92236.5	10
150	34.4	231372.4	150.0	72000.0	62732.5	96489.9	10
155	35.7	234762.6	154.0	73920.0	62080.6	98608.0	10
160	30.3	235631.5	160.0	76800.0	53670.0	105001.5	10
190	21.3	262066.1	190.0	91200.0	45264.9	125411.2	10
