pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
20	79.0	20289.833333333332	20.0	2000.0	12265.833333333334	6004.0	6
21	97.4	24199.3	20.0	2000.0	15007.7	7171.6	10
22	92.0	26407.75	22.0	2200.0	16155.875	8029.875	8
23	75.5	21774.5	22.0	2200.0	12489.0	7063.5	2
24	63.9	20883.8	24.0	2400.0	11219.0	7240.8	10
25	71.0	22950.4	24.0	2400.0	12555.2	7971.2	10
26	65.66666666666667	24281.333333333332	26.0	2600.0	12827.5	8827.833333333334	6
27	68.16666666666667	25289.833333333332	26.0	2600.0	13542.833333333334	9121.0	6
28	61.6	24384.6	28.0	2800.0	12066.4	9490.2	10
29	58.6	23419.1	28.0	2800.0	11464.3	9126.8	10
30	54.3	24300.2	30.0	3000.0	11621.6	9648.6	10
35	65.3	33804.3	34.0	3400.0	16015.9	14354.4	10
40	48.5	32834.8	40.0	4000.0	13316.8	15478.0	10
45	40.0	31545.4	44.0	4400.0	11535.2	15566.2	10
50	45.7	43128.9	50.0	5000.0	15514.6	22564.3	10
55	33.4	37186.4	54.0	5400.0	11838.4	19894.0	10
60	31.3	41331.4	60.0	6000.0	12573.3	22698.1	10
65	32.5	47460.8	64.0	6400.0	13851.2	27145.6	10
70	28.4	48775.9	70.0	7000.0	13114.3	28591.6	10
100	17.7	59748.3	100.0	10000.0	11990.7	37657.6	10
130	11.9	66108.8	130.0	13000.0	10340.9	42637.9	10
