pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	3.0	57198.0	100.0	40000.0	6030.0	11068.0	1
135	3.0	75393.5	134.0	53600.0	4130.0	17529.5	2
140	3.0	75618.0	140.0	56000.0	4073.0	15405.0	3
150	3.0	82119.33333333333	150.0	60000.0	3259.0	18710.333333333332	6
155	2.25	82708.25	154.0	61600.0	2734.5	18219.75	4
156	2.2857142857142856	84047.57142857143	156.0	62400.0	2966.8571428571427	18524.714285714286	7
157	2.5	85937.75	156.0	62400.0	4018.125	19363.625	8
158	2.0	83149.0	158.0	63200.0	1962.0	17829.0	1
159	2.75	85299.0	158.0	63200.0	2751.0	19190.0	4
160	2.6	87379.0	160.0	64000.0	3710.4	19508.6	10
161	2.888888888888889	86054.33333333333	160.0	64000.0	3711.5555555555557	18182.777777777777	9
162	2.25	87508.75	162.0	64800.0	3643.25	18903.5	4
163	2.6	87105.2	162.0	64800.0	3581.3	18561.9	10
164	2.25	91182.0	164.0	65600.0	3744.5	21673.5	4
165	2.4	88959.8	164.0	65600.0	2988.0	20207.8	10
170	2.3	91486.1	170.0	68000.0	3286.0	20030.1	10
175	2.0	94987.0	174.0	69600.0	2329.0	22884.0	1
180	2.1	95744.5	180.0	72000.0	2490.9	21073.6	10
185	2.2	98287.4	184.0	73600.0	3531.1	20972.3	10
190	2.0	98785.0	190.0	76000.0	1748.0	20847.0	1
220	1.7	113707.1	220.0	88000.0	1919.3	23567.8	10
