pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
30	49.833333333333336	14937.666666666666	30.0	3000.0	7201.5	4706.166666666667	6
35	50.0	20382.0	34.0	3400.0	10380.0	6568.0	1
36	37.0	15136.0	36.0	3600.0	6225.0	5275.0	1
37	37.0	15136.0	36.0	3600.0	6225.0	5275.0	1
38	38.4	17328.5	38.0	3800.0	8003.4	5487.1	10
39	38.4	17328.5	38.0	3800.0	8003.4	5487.1	10
40	26.5	13090.8	40.0	4000.0	4607.0	4443.8	10
41	29.6	14314.3	40.0	4000.0	5357.7	4916.6	10
42	30.6	15891.1	42.0	4200.0	5998.7	5650.4	10
43	29.4	15472.2	42.0	4200.0	5733.8	5496.4	10
44	22.571428571428573	13842.42857142857	44.0	4400.0	4515.142857142857	4883.285714285715	7
45	25.0	13864.666666666666	44.0	4400.0	4543.666666666667	4877.0	3
50	24.1	16841.7	50.0	5000.0	5610.4	6181.3	10
55	20.3	17370.1	54.0	5400.0	5451.2	6464.9	10
60	15.7	17110.7	60.0	6000.0	4459.2	6591.5	10
65	12.3	16252.9	64.0	6400.0	3730.3	6058.6	10
70	11.1	16970.6	70.0	7000.0	3268.0	6632.6	10
100	7.2	22507.6	100.0	10000.0	3305.1	9102.5	10
130	5.0	27400.1	130.0	13000.0	3110.8	11159.3	10
