pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	2.375	47436.625	100.0	40000.0	151.5	7185.125	8
110	3.3333333333333335	51405.333333333336	110.0	44000.0	297.3333333333333	6998.0	3
115	2.0	54084.28571428572	114.0	45600.0	193.28571428571428	8177.0	7
116	2.5	54777.7	116.0	46400.0	232.1	8029.6	10
118	2.3	55990.7	118.0	47200.0	166.5	8506.2	10
119	3.2	56112.3	118.0	47200.0	308.0	8486.3	10
120	2.6	57000.3	120.0	48000.0	233.6	8646.7	10
121	3.5	57139.3	120.0	48000.0	388.1	8631.2	10
122	1.8	57845.5	122.0	48800.0	157.0	8766.5	10
123	2.111111111111111	57526.666666666664	122.0	48800.0	169.66666666666666	8435.0	9
124	1.7	58767.0	124.0	49600.0	129.3	8913.7	10
125	2.2	58456.4	124.0	49600.0	175.1	8557.3	10
130	2.8	61815.0	130.0	52000.0	285.1	9399.9	10
135	2.0	63147.9	134.0	53600.0	134.1	9279.8	10
140	3.5	66591.0	140.0	56000.0	420.0	10031.0	2
145	3.4	68168.6	144.0	57600.0	433.3	9991.3	10
150	2.0	71135.6	150.0	60000.0	185.2	10800.4	10
155	3.0	73143.0	154.0	61600.0	356.0	11033.0	1
160	1.6	75801.3	160.0	64000.0	130.1	11511.2	10
190	2.5	90174.0	190.0	76000.0	278.0	13706.0	2
220	2.4	104472.4	220.0	88000.0	376.1	15876.3	10
