pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
70	166.0	163105.0	70.0	7000.0	42555.0	113480.0	1
100	95.0	178641.33333333334	100.0	10000.0	35829.333333333336	132712.0	3
130	87.8	263273.0	130.0	13000.0	43579.8	206563.2	10
135	88.5	281509.5	134.0	13400.0	45646.0	222329.5	6
145	81.8	290361.6	144.0	14400.0	45678.8	230138.8	10
150	60.5	243635.2	150.0	15000.0	35235.4	193249.8	10
155	50.5	217354.1	154.0	15400.0	30441.5	171358.6	10
160	52.6	235896.5	160.0	16000.0	32636.7	187099.8	10
161	71.1	308570.1	160.0	16000.0	45737.6	246672.5	10
162	48.0	223698.1	162.0	16200.0	30106.3	177229.8	10
163	41.4	193346.4	162.0	16200.0	26008.5	150975.9	10
164	77.2	350710.7	164.0	16400.0	50346.9	283799.8	10
165	44.0	209741.3	164.0	16400.0	28400.7	164776.6	10
166	58.9	283464.7	166.0	16600.0	38567.6	228131.1	10
167	54.8	272641.2	166.0	16600.0	35820.2	220055.0	10
168	51.7	260651.4	168.0	16800.0	34332.0	209351.4	10
169	52.5	263938.3	168.0	16800.0	34651.5	212318.8	10
170	69.0	348925.0	170.0	17000.0	47277.0	284478.0	1
175	45.2	239984.2	174.0	17400.0	30992.8	191417.4	10
180	45.9	259607.9	180.0	18000.0	32782.6	208645.3	10
185	54.5	320499.2	184.0	18400.0	39517.1	262398.1	10
