pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
100	3.0	59664.0	100.0	40000.0	7605.0	11959.0	1
160	2.142857142857143	88519.57142857143	160.0	64000.0	5956.714285714285	18402.85714285714	7
190	1.4	102910.6	190.0	76000.0	4591.6	22129.0	5
220	1.0	114136.5	220.0	88000.0	3381.5	22535.0	2
250	1.3333333333333333	134501.5	250.0	100000.0	5096.5	29155.0	6
256	1.1	137369.6	256.0	102400.0	4698.4	30015.2	10
257	1.1	137357.8	256.0	102400.0	4204.5	30497.3	10
258	1.1428571428571428	139901.57142857142	258.0	103200.0	4968.0	31475.571428571428	7
259	1.2	138215.7	258.0	103200.0	4865.7	29892.0	10
260	1.1	140243.7	260.0	104000.0	4618.4	31365.3	10
261	1.0	138611.8	260.0	104000.0	4798.0	29553.8	10
262	1.2	141938.6	262.0	104800.0	5164.2	31712.4	10
263	1.1666666666666667	139584.33333333334	262.0	104800.0	4857.5	29664.833333333332	6
264	1.0	141564.5	264.0	105600.0	4457.1	31243.4	10
265	1.1	141617.2	264.0	105600.0	4815.3	30937.9	10
270	1.0	143249.0	270.0	108000.0	4115.5	30863.5	10
275	1.2	146864.1	274.0	109600.0	4723.7	32266.4	10
280	1.0	148316.5	280.0	112000.0	4083.6	31952.9	10
285	1.0	150456.8	284.0	113600.0	3914.1	32658.7	10
290	1.1	156314.9	290.0	116000.0	5246.4	34778.5	10
295	1.0	156423.4	294.0	117600.0	4334.2	34195.2	10
300	1.2	160662.7	300.0	120000.0	4408.8	35953.9	10
305	1.1	162644.7	304.0	121600.0	3709.8	37030.9	10
