pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
45	107.0	73389.0	44.0	4400.0	35890.0	33055.0	1
55	84.0	76255.5	54.0	5400.0	32133.0	38668.5	4
65	60.833333333333336	75412.16666666667	64.0	6400.0	27123.666666666668	41824.5	6
66	96.0	116407.66666666667	66.0	6600.0	45869.0	63872.666666666664	3
67	96.0	116407.66666666667	66.0	6600.0	45869.0	63872.666666666664	3
68	97.33333333333333	123814.0	68.0	6800.0	48243.0	68703.0	3
69	97.33333333333333	123814.0	68.0	6800.0	48243.0	68703.0	3
70	65.9	90772.3	70.0	7000.0	32629.8	51072.5	10
71	95.1	128621.8	70.0	7000.0	50531.8	71020.0	10
72	68.2	99456.4	72.0	7200.0	35234.6	56949.8	10
73	74.0	107633.25	72.0	7200.0	38829.75	61531.5	4
74	71.6	108549.2	74.0	7400.0	38645.9	62429.3	10
75	77.8	115213.2	74.0	7400.0	41528.8	66210.4	10
80	67.7	114253.3	80.0	8000.0	39237.3	66936.0	10
85	72.5	133155.2	84.0	8400.0	45133.1	79538.1	10
90	80.5	166898.7	90.0	9000.0	56065.6	101743.1	10
95	46.8	108547.1	94.0	9400.0	30989.8	68063.3	10
100	62.9	151670.7	100.0	10000.0	46078.8	95491.9	10
130	42.0	164559.7	130.0	13000.0	40520.6	110909.1	10
160	31.5	185578.0	160.0	16000.0	37821.4	131596.6	10
