pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
160	2.5	92860.75	160.0	64000.0	8667.5	20033.25	4
220	2.375	122647.25	220.0	88000.0	7882.0	26545.25	8
250	2.0	139594.75	250.0	100000.0	7485.25	31859.5	4
255	2.2	143945.4	254.0	101600.0	7716.1	34375.3	10
256	2.1	144355.4	256.0	102400.0	7928.4	33771.0	10
257	2.3333333333333335	144265.83333333334	256.0	102400.0	9113.333333333334	32496.5	6
258	2.142857142857143	144828.85714285713	258.0	103200.0	8203.0	33167.857142857145	7
259	2.3	144160.1	258.0	103200.0	7870.8	32831.3	10
260	2.1	142046.7	260.0	104000.0	6998.9	30787.8	10
261	2.2	149196.2	260.0	104000.0	8838.7	36097.5	10
262	2.2	148582.6	262.0	104800.0	8361.4	35159.2	10
264	2.1	147452.3	264.0	105600.0	7778.1	33810.2	10
265	2.0	151587.5	264.0	105600.0	10303.5	35420.0	2
270	2.2	150303.6	270.0	108000.0	7214.5	34819.1	10
275	2.1	155691.3	274.0	109600.0	8954.3	36863.0	10
280	2.1	159279.7	280.0	112000.0	8518.1	38481.6	10
285	2.6	158426.6	284.0	113600.0	8893.8	35648.8	5
290	2.1	165852.7	290.0	116000.0	9555.1	40007.6	10
295	2.0	163642.0	294.0	117600.0	8033.4	37714.6	10
300	2.1	170393.5	300.0	120000.0	9510.5	40583.0	10
305	2.2	173914.0	304.0	121600.0	9459.6	42550.4	5
