pop	gen	nfe	initnfe	lsnfe	rmnfe	bmnfe	successes
40	65.0	41588.0	40.0	4000.0	16106.0	21442.0	1
50	107.33333333333333	89086.33333333333	50.0	5000.0	35555.0	48481.333333333336	3
51	83.0	70286.57142857143	50.0	5000.0	27933.428571428572	37303.142857142855	7
52	77.33333333333333	68298.0	52.0	5200.0	26649.0	36397.0	3
53	90.66666666666667	79639.0	52.0	5200.0	30809.0	43578.0	3
54	58.714285714285715	56936.57142857143	54.0	5400.0	20200.0	31282.571428571428	7
55	75.4	71370.1	54.0	5400.0	26389.2	39526.9	10
56	82.2	82147.9	56.0	5600.0	30698.0	45793.9	10
57	77.11111111111111	78591.33333333333	56.0	5600.0	30433.0	42502.333333333336	9
58	74.71428571428571	80128.85714285714	58.0	5800.0	28326.714285714286	45944.142857142855	7
59	72.3	78181.1	58.0	5800.0	27116.8	45206.3	10
70	72.4	104796.4	70.0	7000.0	33852.6	63873.8	10
75	56.7	92768.2	74.0	7400.0	27700.4	57593.8	10
85	56.1	112143.4	84.0	8400.0	32514.6	71144.8	10
90	47.1	107832.3	90.0	9000.0	27777.7	70964.6	10
95	51.9	126232.2	94.0	9400.0	33506.8	83231.4	10
100	44.3	121663.3	100.0	10000.0	29752.8	81810.5	10
130	30.8	137744.3	130.0	13000.0	27175.1	97439.2	10
